,wavelength,flux,sigma
0,5.187,0.36974,0.0037
1,5.2172,0.36349000000000004,0.008140000000000001
2,5.2475,0.35034,0.0035
3,5.2777,0.35573,0.0070799999999999995
4,5.308,0.34975,0.0035
5,5.3382,0.35638000000000003,0.00688
6,5.3685,0.36161,0.00678
7,5.3987,0.3602,0.00875
8,5.4289,0.35545,0.00402
9,5.4592,0.34665,0.00491
10,5.4894,0.3462,0.00765
11,5.5197,0.35709,0.010020000000000001
12,5.5499,0.34958,0.009640000000000001
13,5.5802,0.34889000000000003,0.00898
14,5.6104,0.34861,0.00349
15,5.6406,0.3471,0.0034700000000000004
16,5.6709,0.34674,0.0034700000000000004
17,5.7011,0.34931999999999996,0.007679999999999999
18,5.7314,0.3451,0.00345
19,5.7616,0.34995,0.0035
20,5.7918,0.34931999999999996,0.0055899999999999995
21,5.8221,0.34944000000000003,0.00759
22,5.8523,0.34746,0.00728
23,5.8826,0.34836999999999996,0.0034799999999999996
24,5.9128,0.33862,0.00339
25,5.943,0.34309,0.00343
26,5.9733,0.338,0.0033799999999999998
27,6.0035,0.34045,0.00495
28,6.0338,0.34328000000000003,0.00343
29,6.064,0.34561,0.00346
30,6.0943,0.34331999999999996,0.00343
31,6.1245,0.33388,0.00892
32,6.1547,0.33469,0.00335
33,6.185,0.34189,0.00554
34,6.2152,0.33931,0.00339
35,6.2455,0.3422,0.0034200000000000003
36,6.2757,0.33607,0.00336
37,6.306,0.33979000000000004,0.0034
38,6.3362,0.34841,0.0034799999999999996
39,6.3664,0.34802,0.00526
40,6.3967,0.34657,0.0034700000000000004
41,6.4269,0.33425,0.0033399999999999997
42,6.4572,0.33939,0.00339
43,6.4874,0.33801,0.0033799999999999998
44,6.5177,0.34138,0.0034100000000000003
45,6.5479,0.34381,0.00445
46,6.5781,0.34651,0.007690000000000001
47,6.6084,0.35161,0.00352
48,6.6386,0.34861,0.00349
49,6.6689,0.33943,0.00339
50,6.6991,0.33894,0.00339
51,6.7294,0.33969,0.0034
52,6.7596,0.33537,0.00335
53,6.7898,0.32761999999999997,0.0038200000000000005
54,6.8201,0.33836,0.0033799999999999998
55,6.8503,0.34564,0.00346
56,6.8806,0.3406,0.0034100000000000003
57,6.9108,0.33215,0.0033200000000000005
58,6.941,0.33462,0.00335
59,6.9713,0.34831999999999996,0.00417
60,7.0015,0.33601,0.00336
61,7.0318,0.32711999999999997,0.0032700000000000003
62,7.062,0.33202,0.0033200000000000005
63,7.0922,0.33902,0.00339
64,7.1225,0.33701,0.00765
65,7.1527,0.33962,0.0034
66,7.183,0.33189,0.0033200000000000005
67,7.2132,0.32334,0.00323
68,7.2435,0.32966,0.00504
69,7.2737,0.32355,0.01158
70,7.3039,0.32879,0.00329
71,7.3342,0.34384000000000003,0.00344
72,7.3644,0.33831999999999995,0.00774
73,7.3947,0.33374000000000004,0.0033399999999999997
74,7.4249,0.34909,0.00457
75,7.4552,0.34319,0.00343
76,7.4854,0.34258,0.00639
77,7.5156,0.3291,0.00329
78,7.5459,0.35184,0.00998
79,7.5761,0.34281999999999996,0.00599
80,7.6366,0.35020999999999997,0.00399
81,7.6971,0.351,0.004079999999999999
82,7.7576,0.34636999999999996,0.00475
83,7.818,0.34635,0.00614
84,7.8785,0.34825,0.00392
85,7.939,0.35429,0.0035399999999999997
86,7.9995,0.36495,0.00365
87,8.06,0.36223,0.0036200000000000004
88,8.1205,0.36156,0.0036200000000000004
89,8.181,0.36869,0.0036899999999999997
90,8.2414,0.37889,0.007
91,8.3019,0.38521,0.01
92,8.3624,0.38366,0.00555
93,8.4229,0.38684,0.00387
94,8.4834,0.39708000000000004,0.0039700000000000004
95,8.5439,0.40047,0.004
96,8.6043,0.40647,0.00406
97,8.6648,0.40851,0.00409
98,8.7253,0.42546000000000006,0.00425
99,8.7858,0.43091999999999997,0.0043100000000000005
100,8.8463,0.44393999999999995,0.0044399999999999995
101,8.9068,0.44485,0.01124
102,8.9672,0.45752,0.006959999999999999
103,9.0277,0.46485,0.00465
104,9.0882,0.47326999999999997,0.0068
105,9.1487,0.48665,0.00487
106,9.2092,0.50334,0.00757
107,9.2697,0.5005,0.00506
108,9.3301,0.51177,0.00512
109,9.3906,0.50967,0.0054399999999999995
110,9.4511,0.518,0.00518
111,9.5116,0.52081,0.00521
112,9.5721,0.52823,0.00528
113,9.6326,0.52273,0.005229999999999999
114,9.6931,0.52364,0.00524
115,9.7535,0.52457,0.00525
116,9.814,0.5240600000000001,0.00524
117,9.8745,0.52641,0.00526
118,9.935,0.5259,0.00526
119,9.9955,0.52252,0.005229999999999999
120,10.056,0.52282,0.005229999999999999
121,10.1164,0.5230600000000001,0.005229999999999999
122,10.1769,0.5209,0.00521
123,10.2374,0.52042,0.0052
124,10.2979,0.5179199999999999,0.00518
125,10.3584,0.51902,0.00519
126,10.4188,0.51962,0.00613
127,10.4793,0.51097,0.00511
128,10.5398,0.51139,0.00511
129,10.6003,0.50905,0.00842
130,10.6608,0.50936,0.00979
131,10.7213,0.51279,0.00845
132,10.7817,0.50797,0.0050799999999999994
133,10.8422,0.50437,0.00705
134,10.9027,0.49718999999999997,0.00645
135,10.9632,0.49585,0.00496
136,11.0237,0.49249,0.00492
137,11.0842,0.49132,0.00491
138,11.1447,0.48821000000000003,0.00644
139,11.2051,0.48668999999999996,0.00598
140,11.2656,0.48368,0.00618
141,11.3261,0.47475,0.0054399999999999995
142,11.3866,0.48463,0.00485
143,11.4471,0.47778999999999994,0.00656
144,11.5076,0.46867,0.00469
145,11.568,0.47005,0.0047
146,11.6285,0.45743999999999996,0.00457
147,11.689,0.44843,0.00448
148,11.7495,0.44245,0.00442
149,11.81,0.43491,0.00435
150,11.8705,0.42616000000000004,0.00426
151,11.9309,0.41139,0.008159999999999999
152,11.9914,0.41725,0.00417
153,12.0519,0.41245,0.00412
154,12.1124,0.40419,0.00404
155,12.1729,0.39707,0.0039700000000000004
156,12.2334,0.39782,0.00398
157,12.2938,0.39926999999999996,0.00418
158,12.3543,0.39879000000000003,0.00399
159,12.4148,0.39299,0.0039299999999999995
160,12.4753,0.39266999999999996,0.00458
161,12.5358,0.39611,0.00396
162,12.5963,0.38665,0.0068200000000000005
163,12.6567,0.38747,0.00595
164,12.7172,0.38697,0.00387
165,12.7777,0.38897,0.00389
166,12.8382,0.38676,0.00387
167,12.8987,0.38034,0.0038
168,12.9592,0.38287,0.0038299999999999996
169,13.0197,0.38271,0.00864
170,13.0801,0.38072,0.0063
171,13.1406,0.37431,0.00374
172,13.2011,0.37993000000000005,0.0044
173,13.2616,0.37637,0.0037600000000000003
174,13.3221,0.37695,0.00826
175,13.3826,0.36893000000000004,0.0036899999999999997
176,13.443,0.38291,0.00562
177,13.5035,0.38159,0.00595
178,13.564,0.37981,0.0038
179,13.6245,0.38489,0.00385
180,13.685,0.38414,0.0038399999999999997
181,13.7455,0.37655,0.0037700000000000003
182,13.8059,0.38035,0.0038
183,13.8664,0.39673,0.00417
184,13.9269,0.40818000000000004,0.00644
185,13.9874,0.40852,0.00409
186,14.154,0.43861999999999995,0.00686
187,14.2387,0.43585,0.00788
188,14.3234,0.43591,0.00677
189,14.4081,0.4313,0.00909
190,14.4927,0.4267,0.00427
191,14.5774,0.41601000000000005,0.00565
192,14.6621,0.41168000000000005,0.00412
193,14.7468,0.41235,0.0084
194,14.8315,0.41635,0.0041600000000000005
195,14.9161,0.42568999999999996,0.0044399999999999995
196,15.0008,0.42135,0.00424
197,15.0855,0.41233000000000003,0.00412
198,15.1701,0.41268999999999995,0.00413
199,15.2548,0.42513999999999996,0.00425
200,15.3395,0.43145,0.00486
201,15.4242,0.43995,0.0044
202,15.5089,0.43655,0.004370000000000001
203,15.5935,0.43341999999999997,0.00433
204,15.6782,0.44122,0.00441
205,15.7629,0.45098,0.00717
206,15.8476,0.43656999999999996,0.004370000000000001
207,15.9322,0.44223999999999997,0.00442
208,16.0169,0.46523000000000003,0.00465
209,16.1016,0.46345,0.00895
210,16.1863,0.45381000000000005,0.00454
211,16.271,0.45252,0.004529999999999999
212,16.3556,0.46384,0.01166
213,16.4403,0.46737,0.00656
214,16.525,0.47841999999999996,0.00572
215,16.6097,0.49278999999999995,0.0049299999999999995
216,16.6943,0.49095,0.00491
217,16.779,0.49093000000000003,0.00491
218,16.8637,0.48702,0.00487
219,16.9484,0.49177,0.00492
220,17.033,0.49853000000000003,0.00499
221,17.1177,0.51772,0.00518
222,17.2024,0.52288,0.005229999999999999
223,17.2871,0.5040100000000001,0.01236
224,17.3717,0.52455,0.01055
225,17.4564,0.53095,0.01371
226,17.5411,0.53114,0.00997
227,17.6258,0.52676,0.00735
228,17.7105,0.5340199999999999,0.00685
229,17.7951,0.53066,0.0053100000000000005
230,17.8798,0.49892,0.0179
231,17.9645,0.50771,0.015719999999999998
232,18.0492,0.51767,0.03146
233,18.1338,0.54128,0.00718
234,18.2185,0.54376,0.00695
235,18.3032,0.55306,0.005529999999999999
236,18.3879,0.56605,0.00566
237,18.4725,0.54732,0.0112
238,18.5572,0.55738,0.00557
239,18.6419,0.55423,0.01381
240,18.7266,0.5746399999999999,0.02392
241,18.8113,0.5817100000000001,0.012709999999999999
242,18.8959,0.56365,0.00848
243,18.9806,0.56688,0.006540000000000001
244,19.0653,0.57214,0.00665
245,19.15,0.58267,0.00583
246,19.2346,0.5925,0.01685
247,19.3193,0.58,0.009940000000000001
248,19.404,0.58533,0.010209999999999999
249,19.4887,0.57277,0.00573
250,19.5734,0.57863,0.00579
251,19.658,0.5684899999999999,0.0143
252,19.7427,0.54543,0.01247
253,19.8274,0.56528,0.00565
254,19.9121,0.58206,0.0058200000000000005
255,19.9967,0.57787,0.00836
256,20.0814,0.5756899999999999,0.014980000000000002
257,20.1661,0.56799,0.01111
258,20.2508,0.5562699999999999,0.00556
259,20.3354,0.55981,0.00657
260,20.4201,0.56406,0.00564
261,20.5048,0.5727,0.011890000000000001
262,20.5895,0.5606800000000001,0.027160000000000004
263,20.6742,0.58104,0.02634
264,20.8435,0.5961,0.00596
265,21.0129,0.57394,0.0057399999999999994
266,21.1822,0.57057,0.00571
267,21.3516,0.58218,0.0058200000000000005
268,21.5209,0.58831,0.00588
269,21.6903,0.58153,0.0058200000000000005
270,21.8596,0.5728,0.010159999999999999
271,22.029,0.5738300000000001,0.0155
272,22.1983,0.57727,0.01761
273,22.3677,0.56329,0.00922
274,22.537,0.56393,0.00564
275,22.7064,0.55937,0.0055899999999999995
276,22.8757,0.57314,0.00573
277,23.0451,0.56718,0.0056700000000000006
278,23.2145,0.56828,0.005679999999999999
279,23.3838,0.56563,0.00566
280,23.5532,0.57462,0.017490000000000002
281,23.7225,0.5877899999999999,0.01168
282,23.8919,0.5914699999999999,0.007559999999999999
283,24.0612,0.57322,0.02232
284,24.2306,0.56586,0.01855
285,24.3999,0.5747899999999999,0.01372
286,24.5693,0.5776399999999999,0.02162
287,24.7386,0.57087,0.01098
288,24.908,0.5816100000000001,0.018690000000000002
289,25.0774,0.59982,0.011770000000000001
290,25.2467,0.60805,0.00905
291,25.416,0.58463,0.00795
292,25.5854,0.57591,0.00658
293,25.7548,0.5805600000000001,0.01163
294,25.9241,0.57926,0.018080000000000002
295,26.0935,0.5799300000000001,0.009009999999999999
296,26.2628,0.574,0.0057399999999999994
297,26.4322,0.58268,0.00583
298,26.6015,0.5831,0.00761
299,26.7709,0.59212,0.008409999999999999
300,26.9402,0.5646100000000001,0.0096
301,27.1096,0.57895,0.00579
302,27.2789,0.59536,0.00595
303,27.4483,0.58641,0.0064
304,27.6176,0.58138,0.007109999999999999
305,27.787,0.57398,0.0057399999999999994
306,27.9564,0.58297,0.00583
307,28.1257,0.588,0.00588
308,28.2951,0.59614,0.00596
309,28.4644,0.59614,0.00596
310,28.6338,0.5928800000000001,0.0059299999999999995
311,28.8031,0.57371,0.0057399999999999994
312,28.9725,0.58821,0.01546
313,29.1418,0.58244,0.0058200000000000005
314,29.3112,0.58495,0.007690000000000001
315,29.4805,0.59212,0.013280000000000002
316,29.6499,0.58686,0.01158
317,29.8193,0.56538,0.00869
318,29.9886,0.5758,0.021240000000000002
319,30.158,0.57873,0.01429
320,30.3273,0.58212,0.00908
321,30.4967,0.5985,0.0236
322,30.666,0.61349,0.027219999999999998
323,30.8354,0.61027,0.011470000000000001
324,31.0047,0.59937,0.00648
325,31.1741,0.58959,0.0059
326,31.3434,0.57257,0.00573
327,31.5128,0.57067,0.01305
328,31.6821,0.58521,0.00585
329,31.8515,0.60318,0.00945
330,32.0209,0.5783699999999999,0.006659999999999999
331,32.1902,0.5767100000000001,0.02692
332,32.3596,0.5839,0.00584
333,32.5289,0.5976899999999999,0.00598
334,32.6983,0.59927,0.018340000000000002
335,32.8676,0.60621,0.0121
336,33.037,0.61246,0.0061200000000000004
337,33.2063,0.60064,0.00601
338,33.3757,0.59764,0.01547
339,33.545,0.5838800000000001,0.03771
340,33.7144,0.61695,0.00617
341,33.8837,0.59665,0.014480000000000002
342,34.0531,0.64358,0.00647
343,34.2225,0.6420899999999999,0.02531
344,34.3918,0.62644,0.01958
345,34.5612,0.62983,0.01225
346,34.7305,0.66106,0.031889999999999995
347,34.8999,0.64675,0.0257
348,35.0692,0.60992,0.02387
349,35.2386,0.5898,0.023530000000000002
350,35.4079,0.64153,0.00937
351,35.5773,0.68012,0.02182
352,35.7466,0.62507,0.026810000000000004
353,35.916,0.6029899999999999,0.07429
354,36.0853,0.72654,0.10069
