name,value,min,max,comp,var
C2,0.1,0.05,1.0,2,3
Tmidmin,60.0,20.0,200.0,2,4
Tmidmax,400.0,200.0,500.0,2,5
qmid,-0.42,-0.75,-0.1,2,6
Tatmmin,60.0,20.0,200.0,3,7
Tatmmax,400.0,200.0,500.0,3,8
qatm,-0.46,-0.75,-0.1,3,9
Ol. 0.1,0.04835991,0.0,20.0,4,10
Ol. 2.0,0.00292957,0.0,1.0,4,11
Ol. 5.0,0.00269707,0.0,0.539414212639793,4,12
Py. 0.1,0.02841869,0.0,20.0,4,13
Py. 2.0,0.00241561,0.0,1.0,4,14
Py. 5.0,0.00272901,0.0,0.54580251192234,4,15
Fo. 0.1,0.012814500000000001,0.0,1.5,4,16
Fo. 2.0,0.00345352,0.0,0.1,4,17
En. 0.1,0.02050724,0.0,2.0,4,18
En. 2.0,0.0021111999999999997,0.0,0.2,4,19
Si. 0.1,0.00831081,0.0,2.0,4,20
Si. 2.0,0.00226149,0.0,0.22614859,4,21
Si. 5.0,0.00309151,0.0,0.3091506,4,22
