name,value,min,max,comp,var
C1,0.1,0.01,0.25,1,1
Trimmin,1300.0,1000.0,1400.0,1,2
qrim,-0.7,-2.0,-0.4,1,23
C2,0.5,0.01,0.8,2,3
Tmidmin,200.0,100.0,300.0,2,4
Tmidmax,1200.0,800.0,1200.0,2,5
qmid,-0.42,-0.75,-0.3,2,6
Tatmmin,200.0,100.0,300.0,3,7
Tatmmax,1200.0,800.0,1200.0,3,8
qatm,-0.46,-0.75,-0.3,3,9
Ol. 0.1,0.0,0.0,10.0,4,10
Ol. 2.0,0.0,0.0,0.5,4,11
Ol. 5.0,0.0,0.0,0.3,4,12
Py. 0.1,0.0,0.0,7.0,4,13
Py. 2.0,0.0,0.0,0.5,4,14
Py. 5.0,0.0,0.0,0.4,4,15
Fo. 0.1,0.0,0.0,0.2,4,16
Fo. 2.0,0.0,0.0,0.1,4,17
En. 0.1,0.0,0.0,0.4,4,18
En. 2.0,0.0,0.0,0.1,4,19
Si. 0.1,0.0,0.0,0.3,4,20
Si. 2.0,0.0,0.0,0.1,4,21
Si. 5.0,0.0,0.0,0.1,4,22
