wav	flux
0.0742	4.536420599999999e-30
0.0754	1.8120179e-29
0.0766	6.8466908e-29
0.0778	2.4554875e-28
0.079	8.3832819e-28
0.0802	2.7326759999999998e-27
0.0814	8.5257403e-27
0.0826	2.5523546e-26
0.0838	7.348111599999999e-26
0.085	2.0385999999999998e-25
0.0862	5.460841e-25
0.0874	1.4149092e-24
0.0886	3.5521430000000004e-24
0.0898	8.653619e-24
0.091	2.0488258999999998e-23
0.0922	4.7602778e-23
0.0934	1.0720956e-22
0.0946	2.4286857e-22
0.0958	5.0188492e-22
0.097	1.0389269999999998e-21
0.0982	2.1666884e-21
0.0994	4.339907e-21
0.1006	8.5147792e-21
0.1018	1.6197741e-20
0.103	3.0702992999999996e-20
0.1042	6.258359e-20
0.1054	1.0765085000000001e-19
0.1066	2.0270376e-19
0.1078	3.6142393e-19
0.109	7.6931683e-19
0.1102	1.2496053e-18
0.1114	1.8372363e-18
0.1126	4.0227751e-18
0.1138	5.1732829e-18
0.115	8.4302408e-18
0.1162	1.2891009e-17
0.1174	2.0518737e-17
0.1186	3.2259370999999997e-17
0.1198	5.1634946000000005e-17
0.121	7.8458352e-17
0.1222	1.2116811e-16
0.1234	2.1004774e-16
0.1246	4.117981200000001e-16
0.1258	5.8368494e-16
0.127	8.1662338e-16
0.1282	1.3222614999999998e-15
0.1294	1.5499520999999999e-15
0.1306	2.6810645000000002e-15
0.1318	3.7049345e-15
0.133	5.1523137e-15
0.1342	6.9586744e-15
0.1354	9.3484055e-15
0.1366	1.2842156e-14
0.1378	1.7066768999999998e-14
0.139	2.5550187999999997e-14
0.1402	3.8774501000000005e-14
0.1414	6.552266200000001e-14
0.1426	9.3129295e-14
0.1438	1.0830571e-13
0.145	1.5970451e-13
0.1462	2.2173964e-13
0.1474	2.7584429e-13
0.1486	3.4619335999999996e-13
0.1498	4.7660279e-13
0.151	6.265134e-13
0.1522	8.0412527e-13
0.1534	1.2097768999999997e-12
0.1546	1.3762722e-12
0.1558	1.6610813000000002e-12
0.157	2.225204e-12
0.1582	3.0145857000000003e-12
0.1594	3.2401443e-12
0.1606	3.3222169e-12
0.1618	3.6905913999999995e-12
0.163	5.099438e-12
0.1642	5.356294e-12
0.1654	6.2706856e-12
0.1666	9.215042800000001e-12
0.1678	1.2005679e-11
0.169	1.4751641e-11
0.1702	1.6593197e-11
0.1714	2.9109176e-11
0.1726	3.5392961e-11
0.1738	3.7839634000000004e-11
0.175	4.3161565999999996e-11
0.1762	4.9523649e-11
0.1774	8.324882e-11
0.1786	1.1000943000000001e-10
0.1798	1.1055068999999999e-10
0.181	1.0600929e-10
0.1822	1.5308731000000002e-10
0.1834	1.3798542e-10
0.1846	1.973072e-10
0.1858	2.3394035e-10
0.187	2.1886821e-10
0.1882	2.3168463e-10
0.1894	3.5752517e-10
0.1906	3.9515754e-10
0.1918	3.6719283e-10
0.193	8.699888199999999e-10
0.1942	7.3911335e-10
0.1954	7.7613538e-10
0.1966	1.0497287e-09
0.1978	1.0961294e-09
0.199	1.5365235e-09
0.2002	1.2566414e-09
0.2014	1.7324349e-09
0.2026	1.9430492e-09
0.2038	1.7234926e-09
0.205	1.8531088e-09
0.2062	2.5482006e-09
0.2074	2.8177022e-09
0.2086	3.1893464e-09
0.2098	5.343055e-09
0.211	4.9476447e-09
0.2122	3.1888894e-09
0.2134	5.2423932e-09
0.2146	6.7874778e-09
0.2158	5.0302747e-09
0.217	7.5087779e-09
0.2182	7.1477778e-09
0.2194	1.0536171e-08
0.2206	9.044105e-09
0.2218	1.0611496e-08
0.223	2.1464837e-08
0.2242	1.7915117e-08
0.2254	1.2412490000000001e-08
0.2266	2.2274138999999996e-08
0.2278	2.5423847999999998e-08
0.229	4.6899537000000004e-08
0.2302	2.7242978999999998e-08
0.2314	6.7315837e-08
0.2326	6.2869483e-08
0.2338	8.378075200000001e-08
0.235	4.1057313999999996e-08
0.2362	6.2169769e-08
0.2374	4.1573991e-08
0.2386	5.2988449e-08
0.2398	1.2724909e-07
0.241	2.0982021e-07
0.2422	1.2151372999999999e-07
0.2434	3.4498573999999997e-07
0.2446	3.0489175e-07
0.2458	3.6929112e-07
0.247	2.6231259e-07
0.2482	3.1295263e-07
0.2494	1.7746823000000003e-07
0.2506	3.4043310999999994e-07
0.2518	4.3095206e-07
0.253	5.857784300000001e-07
0.2542	7.897971899999999e-07
0.2554	5.970160300000001e-07
0.2566	4.6615153999999995e-07
0.2578	1.0510031e-06
0.259	3.853627e-07
0.2602	3.0170767e-06
0.2614	1.8926726000000002e-06
0.2626	1.5687098999999998e-06
0.2638	2.6459269999999996e-06
0.265	1.8120359e-06
0.2662	1.9031280000000002e-06
0.2674	3.023007e-06
0.2686	2.8336088e-06
0.2698	3.2799959000000003e-06
0.271	3.5415361e-06
0.2722	3.5197218e-06
0.2734	5.2771492999999995e-06
0.2746	4.6488265e-06
0.2758	5.172313e-06
0.277	6.4607925999999995e-06
0.2782	4.4962290999999995e-06
0.2794	5.5540838e-06
0.2806	5.379774099999999e-06
0.2818	6.285159200000001e-06
0.283	7.4556373e-06
0.2842	7.6098915e-06
0.2854	4.6891213e-06
0.2866	1.2392652000000001e-05
0.2878	1.3672275e-05
0.289	1.8395133e-05
0.2902	2.1034363e-05
0.2914	1.5003831e-05
0.2926	2.7843428e-05
0.2938	2.3598539e-05
0.295	2.2107858e-05
0.2962	2.9039663999999997e-05
0.2974	2.0928317e-05
0.2986	2.3543809999999997e-05
0.2998	2.6663466e-05
0.301	2.9212333e-05
0.3022	2.6367023e-05
0.3034	3.5210852e-05
0.3046	4.1221305000000005e-05
0.3058	4.0658576e-05
0.307	2.9069928e-05
0.3082	4.8312685e-05
0.3094	3.0546655e-05
0.3106	4.1923955e-05
0.3118	4.0848682e-05
0.313	7.4474945e-05
0.3142	7.4686807e-05
0.3154	8.8144209e-05
0.3166	8.1738973e-05
0.3178	0.00015462235
0.319	0.00012707029
0.3202	8.5010499e-05
0.3214	9.2181466e-05
0.3226	9.574871999999999e-05
0.3238	0.00010056511999999999
0.325	0.00015249597
0.3262	0.0001603406
0.3274	0.00030588698
0.3286	0.00052166167
0.3298	0.00061357222
0.331	0.00034253093
0.3322	0.00027163944
0.3334	0.00046857429000000006
0.3346	0.00028959557
0.3358	0.00021420883999999997
0.337	0.00027437257
0.3382	0.00031821838
0.3394	0.00027371138
0.3406	0.00061156195
0.3418	0.00035469543
0.343	0.00028532337
0.3442	0.00019988191000000003
0.3454	0.00038948206
0.3466	0.00036726945
0.3478	0.0005097667
0.349	0.00037654302000000005
0.3502	0.00056214514
0.3514	0.0005701646800000001
0.3526	0.00040524224999999997
0.3538	0.00053669888
0.355	0.00077561023
