         382           4           3
Mon Jul 11 15:41:34 2005
classA_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      5.90085    0.0722540     0.904586      0.00000
      5.90270    0.0862385     0.781970      0.00000
      5.90454     0.112223     0.618077      0.00000
      5.90639    0.0886740     0.411854      0.00000
      5.90823    0.0592624     0.997200      0.00000
      5.91008    0.0388750      1.01308      0.00000
      5.91193    0.0420184     0.467154      0.00000
      5.91377    0.0398959     0.657639      0.00000
      5.91562  0.000285857     0.546355      0.00000
      5.91747   -0.0188416     0.548981      0.00000
      5.91932   -0.0121825     0.571465      0.00000
      5.92117   0.00310672     0.298007      0.00000
      5.92302    0.0181361     0.297026      0.00000
      5.92487    0.0106581     0.363524      0.00000
      5.92672  -0.00486731     0.651041      0.00000
      5.92858  0.000532545     0.714404      0.00000
      5.93043    0.0192452     0.460739      0.00000
      5.93228    0.0353952     0.464252      0.00000
      5.93414    0.0234106     0.738426      0.00000
      5.93599  -0.00881863     0.555916      0.00000
      5.93785   -0.0166695     0.431088      0.00000
      5.93970   -0.0112513     0.855318      0.00000
      5.94156   -0.0101925     0.694243      0.00000
      5.94342  -0.00998941     0.505413      0.00000
      5.94527   0.00400159     0.775131      0.00000
      5.94713    0.0212458     0.725776      0.00000
      5.94899    0.0249797     0.670657      0.00000
      5.95085    0.0100395     0.533298      0.00000
      5.95271    0.0129478     0.673567      0.00000
      5.95457    0.0279087     0.809827      0.00000
      5.95643    0.0408499     0.475587      0.00000
      5.95829    0.0303327     0.728112      0.00000
      5.96016    0.0255238     0.969913      0.00000
      5.96202    0.0469036     0.824480      0.00000
      5.96388    0.0664838     0.794083      0.00000
      5.96575    0.0556760     0.577314      0.00000
      5.96761   0.00792088     0.473617      0.00000
      5.96948  -0.00582790     0.209733      0.00000
      5.97134   0.00623571     0.890220      0.00000
      5.97321    0.0220501     0.883773      0.00000
      5.97508    0.0305932     0.682980      0.00000
      5.97694    0.0258831     0.827474      0.00000
      5.97881    0.0299407     0.928686      0.00000
      5.98068    0.0386620     0.495979      0.00000
      5.98255    0.0601889     0.682601      0.00000
      5.98442    0.0849565     0.800059      0.00000
      5.98629    0.0888253     0.385970      0.00000
