         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      7.14928   0.00180787     0.265894      0.00000
      7.15151   0.00466613     0.387332      0.00000
      7.15375   0.00761120     0.524237      0.00000
      7.15598   0.00118523     0.410898      0.00000
      7.15822  -0.00434032     0.265206      0.00000
      7.16046    0.0116705     0.429078      0.00000
      7.16270    0.0361306     0.544921      0.00000
      7.16494    0.0263522     0.620001      0.00000
      7.16717   0.00767903     0.221352      0.00000
      7.16941  -0.00143925     0.366397      0.00000
      7.17166    0.0254280     0.397349      0.00000
      7.17390    0.0249047     0.610616      0.00000
      7.17614   0.00227531     0.507441      0.00000
      7.17838   -0.0346720     0.456605      0.00000
      7.18063   -0.0332267     0.532135      0.00000
      7.18287   -0.0115601     0.491491      0.00000
      7.18512    0.0109015     0.554301      0.00000
      7.18736    0.0146417     0.557348      0.00000
      7.18961   0.00912230     0.362400      0.00000
      7.19185   0.00511752     0.315279      0.00000
      7.19410   0.00323619     0.565524      0.00000
      7.19635    0.0218699     0.586786      0.00000
      7.19860    0.0194816     0.428437      0.00000
      7.20085   0.00931426     0.389190      0.00000
      7.20310  -0.00427310     0.373014      0.00000
      7.20535  -0.00318896     0.338666      0.00000
      7.20760 -0.000213844     0.367478      0.00000
      7.20986  -0.00742875     0.484457      0.00000
      7.21211    0.0105152     0.504984      0.00000
      7.21436    0.0272018     0.310070      0.00000
      7.21662    0.0373723     0.326052      0.00000
      7.21887   0.00771532     0.544221      0.00000
      7.22113  -0.00500711     0.779317      0.00000
      7.22339  -0.00342531     0.763002      0.00000
      7.22565    0.0315577     0.320410      0.00000
      7.22790    0.0504397     0.482098      0.00000
      7.23016    0.0790300     0.491094      0.00000
      7.23242    0.0713869     0.722322      0.00000
      7.23468    0.0744708     0.493104      0.00000
      7.23694    0.0580938     0.445553      0.00000
      7.23921    0.0676530     0.508769      0.00000
      7.24147    0.0648984     0.596603      0.00000
      7.24373    0.0588922     0.489976      0.00000
      7.24600    0.0471676     0.510806      0.00000
      7.24826    0.0284382     0.596942      0.00000
      7.25053    0.0324170     0.342933      0.00000
      7.25279    0.0436317     0.612125      0.00000
      7.25506    0.0629295     0.578588      0.00000
      7.25733    0.0625180     0.392818      0.00000
      7.25959    0.0464137     0.450212      0.00000
      7.26186    0.0333132     0.395576      0.00000
      7.26413    0.0287575     0.401830      0.00000
      7.26640    0.0411176     0.535946      0.00000
      7.26868    0.0493486     0.566594      0.00000
      7.27095    0.0590313     0.500413      0.00000
      7.27322    0.0501068     0.348347      0.00000
      7.27549    0.0395226     0.320699      0.00000
      7.27777    0.0377935     0.365818      0.00000
      7.28004    0.0551460     0.417202      0.00000
      7.28232    0.0648613     0.431923      0.00000
      7.28459    0.0761884     0.435365      0.00000
      7.28687    0.0868706     0.529157      0.00000
      7.28915     0.101419     0.452513      0.00000
      7.29143    0.0904597     0.402044      0.00000
      7.29370    0.0742406     0.406806      0.00000
      7.29598    0.0696426     0.447901      0.00000
      7.29826    0.0707139     0.485933      0.00000
      7.30055    0.0778344     0.398446      0.00000
      7.30283    0.0777675     0.291765      0.00000
      7.30511    0.0866190     0.299726      0.00000
      7.30739    0.0838541     0.345270      0.00000
      7.30968    0.0856402     0.289916      0.00000
      7.31196    0.0862573     0.375228      0.00000
      7.31425     0.105006     0.472914      0.00000
      7.31653     0.109254     0.531202      0.00000
      7.31882     0.106698     0.499470      0.00000
      7.32111    0.0932216     0.392691      0.00000
      7.32340     0.105553     0.178633      0.00000
      7.32568     0.123401     0.358252      0.00000
      7.32797     0.126859     0.409175      0.00000
      7.33026     0.127143     0.309426      0.00000
      7.33256     0.127558     0.277245      0.00000
      7.33485     0.136725     0.276897      0.00000
      7.33714     0.130630     0.508957      0.00000
      7.33943     0.130636     0.449154      0.00000
      7.34173     0.131568     0.221149      0.00000
      7.34402     0.138696     0.195549      0.00000
      7.34632     0.151286     0.171077      0.00000
      7.34861     0.169135     0.344581      0.00000
      7.35091     0.172780     0.309332      0.00000
      7.35321     0.161495     0.410859      0.00000
      7.35550     0.148486     0.459487      0.00000
      7.35780     0.150357     0.376155      0.00000
      7.36010     0.159457     0.356457      0.00000
      7.36240     0.168455     0.313849      0.00000
      7.36471     0.174174     0.255314      0.00000
      7.36701     0.179068     0.273340      0.00000
      7.36931     0.188879     0.289435      0.00000
      7.37161     0.192924     0.252496      0.00000
      7.37392     0.196257     0.407820      0.00000
      7.37622     0.200433     0.517346      0.00000
      7.37853     0.220167     0.465666      0.00000
      7.38083     0.233469     0.247068      0.00000
      7.38314     0.244464     0.246581      0.00000
      7.38545     0.245877     0.481633      0.00000
      7.38776     0.249836     0.440842      0.00000
      7.39006     0.243857     0.382238      0.00000
      7.39237     0.231155     0.406975      0.00000
      7.39469     0.225274     0.341240      0.00000
      7.39700     0.237961     0.316253      0.00000
      7.39931     0.264303     0.331564      0.00000
      7.40162     0.280059     0.308327      0.00000
      7.40393     0.285674     0.351367      0.00000
      7.40625     0.293016     0.388569      0.00000
      7.40856     0.307567     0.416929      0.00000
      7.41088     0.305322     0.513110      0.00000
      7.41320     0.304521     0.449712      0.00000
      7.41551     0.299737     0.455660      0.00000
      7.41783     0.311240     0.309486      0.00000
      7.42015     0.314513     0.186766      0.00000
      7.42247     0.331025     0.305954      0.00000
      7.42479     0.349486     0.395427      0.00000
      7.42711     0.365472     0.442409      0.00000
      7.42943     0.355739     0.494093      0.00000
      7.43175     0.348105     0.406956      0.00000
      7.43407     0.353329     0.487977      0.00000
      7.43640     0.367159     0.440062      0.00000
      7.43872     0.372340     0.312309      0.00000
      7.44105     0.372671     0.211580      0.00000
      7.44337     0.374044     0.325756      0.00000
      7.44570     0.374134     0.364286      0.00000
      7.44803     0.379877     0.278564      0.00000
      7.47367     0.427316     0.564983      0.00000
      7.47601     0.420811     0.565865      0.00000
      7.47835     0.419134     0.345430      0.00000
      7.48068     0.440978     0.250742      0.00000
      7.48302     0.476624     0.354271      0.00000
      7.48536     0.494045     0.370154      0.00000
      7.48770     0.494054     0.423765      0.00000
      7.49004     0.498811     0.362654      0.00000
      7.49238     0.516680     0.320524      0.00000
      7.49472     0.552528     0.363521      0.00000
      7.49706     0.612775     0.522093      0.00000
      7.49941     0.675476     0.791664      0.00000
      7.50175     0.693216     0.506120      0.00000
      7.50410     0.669109     0.563175      0.00000
      7.50644     0.631432     0.488230      0.00000
      7.50879     0.624146     0.431605      0.00000
      7.51113     0.638521     0.428926      0.00000
      7.51348     0.647533     0.866855      0.00000
      7.51583     0.655384     0.701495      0.00000
      7.51818     0.648608     0.462187      0.00000
      7.52053     0.664573     0.564280      0.00000
      7.52288     0.667917     0.534183      0.00000
      7.52523     0.681025     0.413915      0.00000
      7.52758     0.684030     0.363305      0.00000
      7.52994     0.699891     0.283800      0.00000
      7.53229     0.703604     0.313036      0.00000
      7.53464     0.716622     0.395281      0.00000
      7.53700     0.729228     0.423778      0.00000
      7.53935     0.745710     0.394012      0.00000
      7.54171     0.757386     0.397596      0.00000
      7.54407     0.770291     0.385860      0.00000
      7.54643     0.778717     0.351205      0.00000
      7.54878     0.783599     0.286537      0.00000
      7.55114     0.786228     0.434964      0.00000
      7.55350     0.792366     0.652393      0.00000
      7.55586     0.793573     0.599499      0.00000
      7.55823     0.794865     0.532267      0.00000
      7.56059     0.795349     0.484989      0.00000
      7.56295     0.799479     0.468978      0.00000
      7.56532     0.808623     0.478018      0.00000
