         426           4           3
Mon Jul 11 15:35:17 2005
classB_11.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      10.6392    0.0204442      2.77290      7.00000
      10.6418    0.0192302      2.39688      7.00000
      10.6445    0.0145959      3.16796      7.00000
      10.6471   0.00941385      2.68826      7.00000
      10.6497   0.00690055      2.21057      7.00000
      10.6527   0.00815304      2.11382      7.00000
      10.6553    0.0113077      3.06494      7.00000
      10.6580    0.0134085      2.48064      7.00000
      10.6609    0.0133842      2.57424      7.00000
      10.6636    0.0108976      3.40946      7.00000
      10.6662   0.00766520      2.85438      7.00000
      10.6688   0.00684183      2.50787      7.00000
      10.6715    0.0104841      2.23686      7.00000
      10.6741    0.0162248      3.24978      7.00000
      10.6768    0.0208645      2.75041      7.00000
      10.6794    0.0222918      2.79129      7.00000
      10.6820    0.0196158      3.04449      7.00000
      10.6847    0.0139988      2.51874      7.00000
      10.6873   0.00911411      2.13480      7.00000
      10.6900   0.00782923      2.40486      7.00000
      10.6926   0.00898066      3.10776      7.00000
      10.6953    0.0105414      2.59041      7.00000
      10.6979    0.0112390      2.85205      7.00000
      10.7006   0.00982348      2.72615      7.00000
      10.7032   0.00647741      3.19099      7.00000
      10.7058   0.00428230      2.15941      7.00000
      10.7085   0.00500553      1.34144      7.00000
      10.7114   0.00672850      1.58691      7.00000
      10.7141   0.00822544      1.46059      7.00000
      10.7167   0.00997117      1.23399      7.00000
      10.7197    0.0109922      2.20320      7.00000
      10.7223   0.00982281      2.87351      7.00000
      10.7250   0.00863399      1.68359      7.00000
      10.7276   0.00931778      1.58648      7.00000
      10.7303    0.0116529      1.53050      7.00000
      10.7330    0.0148770      1.53431      7.00000
      10.7356    0.0196597      2.31326      7.00000
      10.7382    0.0232433      3.43637      7.00000
      10.7409    0.0237751      3.13196      7.00000
      10.7435    0.0225698      1.93241      7.00000
      10.7462    0.0218722      2.67603      7.00000
      10.7488    0.0215820      2.29980      7.00000
      10.7515    0.0221833      2.42050      7.00000
      10.7541    0.0241510      2.40462      7.00000
      10.7571    0.0263309      2.84138      7.00000
      10.7597    0.0275337      2.71448      7.00000
      10.7624    0.0286225      2.18850      7.00000
      10.7653    0.0307508      2.82642      7.00000
      10.7680    0.0332445      2.08709      7.00000
      10.7706    0.0358359      2.04461      7.00000
      10.7733    0.0376804      3.85140      7.00000
      10.7759    0.0379508      3.58381      7.00000
      10.7786    0.0375783      3.41949      7.00000
      10.7812    0.0379565      3.44500      7.00000
      10.7839    0.0391382      2.73084      7.00000
      10.7865    0.0411504      2.09083      7.00000
      10.7892    0.0430018      3.04510      7.00000
      10.7918    0.0427044      3.87017      7.00000
      10.7948    0.0393080      4.20464      7.00000
      10.7974    0.0352118      3.29909      7.00000
      10.8001    0.0322408      3.01367      7.00000
      10.8031    0.0315009      3.12645      7.00000
      10.8057    0.0326139      2.80871      7.00000
      10.8084    0.0349796      2.25838      7.00000
      10.8110    0.0348526      3.01216      7.00000
      10.8137    0.0307904      2.58669      7.00000
      10.8163    0.0253232      2.38765      7.00000
      10.8190    0.0213785      2.38664      7.00000
      10.8216    0.0205203      2.32798      7.00000
      10.8243    0.0233766      2.04895      7.00000
      10.8272    0.0286124      1.38266      7.00000
      10.8299    0.0314730      1.78437      7.00000
      10.8326    0.0300329      1.88837      7.00000
      10.8355    0.0251350      2.78091      7.00000
      10.8382    0.0192581      3.17773      7.00000
      10.8408    0.0153743      2.86938      7.00000
      10.8435    0.0157273      2.05656      7.00000
      10.8461    0.0199026      1.96225      7.00000
      10.8488    0.0231407      2.34387      7.00000
      10.8515    0.0225587      2.53336      7.00000
      10.8541    0.0175741      3.40611      7.00000
      10.8571    0.0104458      3.75935      7.00000
      10.8597   0.00460290      2.97181      7.00000
      10.8624   0.00444418      1.98917      7.00000
      10.8651   0.00891759      2.17070      7.00000
      10.8680    0.0142444      2.51384      7.00000
      10.8707    0.0163660      1.57327      7.00000
      10.8733    0.0141369      3.84445      7.00000
      10.8760   0.00794395      4.22652      7.00000
      10.8787   0.00311773      3.56315      7.00000
      10.8813   0.00478594      2.81169      7.00000
      10.8842    0.0132918      2.63870      7.00000
      10.8869    0.0234525      2.35424      7.00000
      10.8896    0.0312069      2.86715      7.00000
