         239           4           3
Mon Jul 11 15:42:17 2005
classC_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      5.90083   0.00489399     0.491155      6.00000
      5.90378  0.000740732     0.491966      6.00000
      5.90674   -0.0212630     0.375896      6.00000
      5.90969   -0.0726841     0.231345      6.00000
      5.91265   -0.0136120     0.151230      6.00000
      5.91560    0.0369926     0.378805      6.00000
      5.91856    0.0385355     0.382553      6.00000
      5.92152   -0.0516362     0.440087      6.00000
      5.92448   -0.0539442     0.409170      6.00000
      5.92745   -0.0743631     0.407619      6.00000
      5.93041   -0.0264122     0.352119      6.00000
      5.93338   -0.0834760     0.274573      6.00000
      5.93634   -0.0494662     0.300744      6.00000
      5.93931   -0.0343020     0.385588      6.00000
      5.94228   0.00112465     0.479099      6.00000
      5.94525  -0.00562682     0.396791      6.00000
      5.94823   0.00541561     0.283223      6.00000
      5.95120    0.0513815     0.387018      6.00000
      5.95418    0.0158304     0.482325      6.00000
      5.95716  -0.00683817     0.228131      6.00000
      5.96014   -0.0745696     0.620058      6.00000
      5.96312    0.0141251     0.607106      6.00000
      5.96610    0.0132500     0.336325      6.00000
      5.96908    0.0657950     0.543328      6.00000
      5.97207  -0.00336949     0.667966      6.00000
      5.97506  -0.00111096     0.255033      6.00000
      5.97804   -0.0571403     0.352181      6.00000
      5.98103   -0.0574660     0.428189      6.00000
      5.98402   -0.0811956     0.256285      6.00000
      5.98702   -0.0724337     0.238958      6.00000
      5.99001   -0.0893365     0.252568      6.00000
      5.99301   -0.0868805     0.322344      6.00000
      5.99600    -0.105037     0.258389      6.00000
      5.99900   -0.0735705     0.256231      6.00000
      6.00200   -0.0181845     0.340084      6.00000
      6.00500    0.0367533     0.181639      6.00000
      6.00801    0.0568399     0.198222      6.00000
      6.01101    0.0405547     0.242034      6.00000
      6.01402    0.0459579     0.320084      6.00000
      6.01703    0.0523655     0.475668      6.00000
      6.02004    0.0834550     0.341324      6.00000
