         568           4           3
Mon Jul 11 16:09:02 2005
classC_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      7.15008    0.0107814     0.362138      7.00000
      7.15366   0.00839206     0.288739      7.00000
      7.15723    0.0214491     0.164222      7.00000
      7.16081    0.0144968     0.157878      7.00000
      7.16439   -0.0101434     0.255837      7.00000
      7.16798   -0.0150102     0.368505      7.00000
      7.17156   -0.0152590     0.294436      7.00000
      7.17515   0.00514561     0.147299      7.00000
      7.17874   0.00246202     0.142751      7.00000
      7.18233  -0.00664674     0.160763      7.00000
      7.18592   0.00737982     0.214254      7.00000
      7.18952    0.0344441     0.183934      7.00000
      7.19311    0.0502837     0.164266      7.00000
      7.19671    0.0489883     0.149221      7.00000
      7.20031    0.0450808    0.0840634      7.00000
      7.20391    0.0448747     0.111809      7.00000
      7.20751    0.0327325     0.280673      7.00000
      7.21112    0.0384976     0.242151      7.00000
      7.21472    0.0429442     0.140531      7.00000
      7.21833    0.0513079     0.107774      7.00000
      7.22194    0.0361004     0.164578      7.00000
      7.22555    0.0251742     0.277524      7.00000
      7.22917    0.0310620     0.247167      7.00000
      7.23278    0.0416916     0.155117      7.00000
      7.23640    0.0695913     0.176389      7.00000
      7.24002    0.0810308     0.161601      7.00000
      7.24364    0.0628315     0.214961      7.00000
      7.24726    0.0253780     0.433856      7.00000
      7.25089    0.0269799     0.235046      7.00000
      7.25451    0.0600478     0.181861      7.00000
      7.25814    0.0717630     0.132109      7.00000
      7.26177    0.0500489     0.161351      7.00000
      7.26540    0.0308595     0.159266      7.00000
      7.26904    0.0459999     0.198472      7.00000
      7.27267    0.0674493     0.178639      7.00000
      7.27631    0.0721094     0.157509      7.00000
      7.27995    0.0483518     0.188957      7.00000
      7.28359    0.0147722     0.237142      7.00000
      7.28723    0.0217551     0.269096      7.00000
      7.29088    0.0246236     0.161786      7.00000
      7.29452    0.0241416     0.196491      7.00000
      7.29817  -0.00422148     0.143976      7.00000
      7.30182  -0.00984071     0.184673      7.00000
      7.30547 -0.000343300     0.211252      7.00000
